Report Index,Report Name,Time (seconds)
1,Contemporary Water Research - 2017 - Uddameri - Understanding Climate‐Hydrologic‐Human Interactions to Guide Groundwater.pdf,190.4
2,Deeds et al 2015 High Plains aquifer system GAM.pdf,283.27
3,Dutton_2001_GWflowModel_Ogallala_TX_52_p0297_p0307.pdf,172.1
4,Ewing et al 2008 Dockum Group groundwater availability model extends into NM.pdf,318.77
5,Fahlquist_Groundater_quality_ofr03345_2001.pdf,444.11
6,Goodwin2023_PotentiometricSurfaceMapSouthernHPCannonAFB.pdf,235.99
7,Langman_Ellis_Isotope_Groundwater_2009.pdf,132.79
8,OFR-580_Clovis_Portales_LR.pdf,316.28
9,OFR-626.pdf,252.92
10,Rawling2018_B-162.pdf,189.98
11,Wang2023_GWManagementAgriculturalCropChoiceEasternHPNM.pdf,222.43
