Report Index,Report Name,Time (seconds)
1,DecisonMakers2003.pdf,271.48
2,Evaporite_Karst_and_Regional_Ground-Water_Circulat.pdf,215.26
3,Gabora2003_A _18O Calibrated Compartmental Mixing Cell Model of Groundwater.pdf,130.96
4,Hypogenic Speleogenesis within Seven Rivers Evaporites_ Coffee Ca.pdf,273.07
5,J American Water Resour Assoc - 2008 - Land - Seasonal and Long‐Term Variations in Hydraulic Head in a Karstic Aquifer .pdf,251.52
6,Land_Huff_BitterLakes.pdf,260.48
7,Multi-tracer_investigation_of_groundwater_residenc.pdf,252.84
8,Newman2016_IdentificationHydrochemicalFaciesRAB.pdf,162.04
9,ofr_503.pdf,190.73
10,ofr_521.pdf,228.77
11,ofr_526.pdf,159.08
