Report Index,Report Name,Time (seconds)
1,Darr2014_HydrogeologyWaterResourcesWaterBudgetRioHondoBasin.pdf,568.35
2,DecisonMakers2003.pdf,423.52
3,Eastoe2014_water-06-00301.pdf,646.33
4,Eastoe2019_geosciences-09-00461.pdf,511.13
5,Gierke2016_SoilWaterDynamicsTreeWaterUptakeSacramentoMountainsNM.pdf,414.17
6,Land2016_EvaluationGWResidenceTimeSacramentoMountains.pdf,620.14
7,Newman2016_HydrogeologyOfSacramentoMtnsRoswellSaltBasinsNM.pdf,378.15
8,OFR-543_LR.pdf,429.19
9,OFR-576_SM_watershed_study.pdf,390.8
10,OFR-614_report.pdf,396.31
11,Rawling2016_QuantityAndLocationOfGroundwaterRechargeSacramentoMountainsNM.pdf,617.44
12,Riesterer2006_HydrogeoHaleSpringRuidosoDownsNM.pdf,384.35
13,Szynkiewics2012_SourcesAndBudgetForDissolvedSulfateFracturedCarbonateAquiferSacMtns.pdf,448.91
