Report Index,Report Name,Time (seconds)
1,Bexfield_ConceptualUnderstandingGroundwaterQualityBasinFillAquiferSanLuisValley.pdf,164.76
2,Drakos2004_HydrologicCharacteristicsBasinFillAquifersSouthernSanLuisBasinNM.pdf,273.79
3,Drenth2013_GeophysicalConstraintsRioGrandeRiftStructureSanLuisBasin.pdf,260.16
4,Klenner2011_EvaluationGeothermalPotentialRGRSanLuisBasin.pdf,269.44
5,nmg_v32_n1_p26.pdf,183.82
6,ofr-492.pdf,141.19
7,ofr-505_LR.pdf,281.52
8,OFR-506.pdf,202.79
9,OFR-578_Report.pdf,155.55
10,OFR-581_South_Taos_Valley.pdf,163.16
11,OFR-596_Picuris.pdf,174.01
12,OFR-607_sunshine_valley.pdf,234.62
13,San_Luis_Basin_FBWQNM.pdf,186.25
