,0
Report Name,reports\report_0.pdf
Aquifer(s) name,"The study focuses on the basin-fill aquifers, which are referred to as the Santa Fe Group sediments."
Aquifer boundary definition,"The study defined the aquifer boundaries in 2D, as it includes a geologic map, a subsurface bedrock map, geologic cross sections, and fence diagrams, along with a water table elevation map. These elements provide a two-dimensional representation of the aquifer's extent and characteristics."
Data used to define aquifer boundary,"The aquifer boundaries in the Arroyo Seco Area were defined using a combination of geologic, hydrologic, and geophysical data. Specifically, the study utilized:

1. Geologic mapping, including existing maps and new fieldwork, to understand the distribution of geologic units and faults that influence groundwater flow.
2. Subsurface interpretations from well logs, including the identification of basalt and bedrock layers, which helped delineate the extent and depth of aquifers.
3. Water level measurements from 43 domestic wells, supplemented by data from Glorieta Geoscience, Inc. and the Taos Soil and Water Conservation District, to map the water table and identify groundwater flow patterns.
4. Hydraulic properties of the aquifers, determined from aquifer tests, which provided insights into the transmissivity and hydraulic conductivity of the aquifer materials.
5. Groundwater elevation contours, drawn from water level data, to visualize the flow directions and gradients, which helped in defining the extent of the aquifers.

These data collectively contributed to the conceptual hydrogeologic model of the area, outlining the aquifer boundaries and the influence of geologic structures on groundwater flow."
Digital product of aquifer boundary,"No, the study did not publish a digital product that defined the aquifer boundaries."
Hydrostratigraphy,"The study did not establish a detailed hydrostratigraphy of the subsurface. Although several outcrops were examined to characterize the basin-fill sediments, poor and noncontinuous outcrop precluded subdividing the basin fill into mappable hydrostratigraphic units. The descriptions provided were useful for illustrating variations in clast composition, grain size, and sedimentary structures, which are typical of the subsurface stratigraphy, but a continuous stratigraphic correlation in the Santa Fe Group sediments could not be made from the available data."
Data used to define hydrostratigraphy,"The hydrostratigraphy in the Arroyo Seco area was defined using a combination of geologic, hydrologic, and geophysical data. Specifically, the data included:

1. Geologic Mapping: This involved fieldwork and the refinement of existing geologic maps, focusing on the orientation and characteristics of geological formations, particularly the sedimentary facies of the basin-fill sediments.

2. Well Data: Water levels were measured in 43 domestic wells, and additional data was obtained from Glorieta Geoscience, Inc., and the Taos Soil and Water Conservation District. These data provided insights into the distribution and flow patterns of groundwater.

3. Driller's Logs: These logs were used to understand the subsurface geology and to identify the depth and composition of aquifers and confining layers.

4. Aquifer Tests: Hydraulic properties of the aquifers were estimated through aquifer tests conducted by Glorieta Geoscience, Inc., which provided values for transmissivity and hydraulic conductivity.

5. Groundwater Elevation Contours: These were drawn based on water level measurements to understand groundwater flow patterns and interactions with surface water.

6. Geophysical Data: Preliminary aeromagnetic data helped delineate subsurface features such as faults and buried bedrock benches that influence groundwater flow.

These combined data sources allowed for the development of a conceptual hydrogeologic model that describes the groundwater system's behavior in response to geological controls and potential future changes."
Data sources - hydrostratigraphy,"The hydrostratigraphy data sources in the report were compiled from existing geologic, hydrologic, and geophysical data, new geologic mapping, and water level measurements in 43 domestic wells. Additionally, hydrologic data were collected by Glorieta Geoscience, Inc., through aquifer tests and well logs, and the Taos Soil and Water Conservation District provided a well inventory assembled by Tony Benson and students from UNM-Taos."
Structural controls,"Yes, the study defined subsurface structural controls on groundwater flow. It identified that the Sangre de Cristo fault, composed of several interlinked strands, and variations in aquifer transmissivity significantly affect groundwater flow patterns. The study also noted the influence of buried basalt and dacite, along with associated gravel layers, which comprise a high transmissivity unit affecting local groundwater flow, particularly near the Gates of Valdez. Additionally, the study highlighted the impact of faults on the vertical distribution of hydraulic head, leading to upward, downward, and horizontal groundwater flow paths near and across these faults."
Data used to define structural controls,"The structural controls in the Arroyo Seco Area study were defined using several types of data:

1. **Geologic Mapping**: Existing geologic maps by Lipman and Reed (1989) and Kelson (1986), along with unpublished mapping of Proterozoic rocks by J. Grambling, were used. Fieldwork in August 2004 involved reconnaissance and field checking of these maps, refining geologic contacts, and collecting additional orientation data, particularly on joints in crystalline rocks.

2. **Subsurface Interpretations**: Well data and drillers' logs provided information on subsurface structures, including the presence of basalt and bedrock. Specific wells, such as ES-23 and DM-44, helped delineate the location of buried faults and bedrock benches.

3. **Aeromagnetic Data**: Preliminary interpretations of aeromagnetic data by V. J. S. Grauch of the U.S. Geological Survey were used to identify buried discontinuities and fault zones.

4. **Well Logs**: Examination of well logs for lithology and depth to basalt or bedrock helped in constructing subsurface structure maps and understanding fault geometries.

These data collectively helped in defining the structural controls, such as the Sangre de Cristo fault system and its influence on groundwater flow patterns."
