FID_webmap,SimpleRegion,report_url
11,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/400-499/492/ofr-492.pdf
11,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/505/ofr-505_LR.pdf
4,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/581/OFR-581_South_Taos_Valley.pdf
11,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/596/OFR-596_Picuris.pdf
1,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/607/OFR-607_sunshine_valley.pdf
15,SanLuisBasin,https://geoinfo.nmt.edu/publications/periodicals/nmg/32/n1/nmg_v32_n1_p26.pdf
11,SanLuisBasin,https://geoinfo.nmt.edu/resources/water/amp/brochures/BWA/San_Luis_Basin_FBWQNM.pdf
15,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/506/OFR-506.pdf
3,SanLuisBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/578/OFR-578_Report.pdf
28,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/582/OFR-582_ETB_brackishLR.pdf
21,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/559/OFR559_White_Sands.pdf
23,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/561/OFR_561_LR.pdf
23,TularosaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/562/OFR-562.pdf
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/521/ofr_521.pdf
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/503/ofr_503.pdf
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/guides/decisionmakers/2003/DecisonMakers2003.pdf
2,RoswellArtesianBasin,https://www.researchgate.net/profile/Lewis-Land-2/publication/264852032_Evaporite_Karst_and_Regional_Ground-Water_Circulation_in_the_Lower_Pecos_Valley_of_Southeastern_New_Mexico/links/54dbb12c0cf28d3de65bf55d/Evaporite-Karst-and-Regional-Ground-Water-Circulation-in-the-Lower-Pecos-Valley-of-Southeastern-New-Mexico.pdf
2,RoswellArtesianBasin,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1752-1688.2007.00146.x
2,RoswellArtesianBasin,https://www.researchgate.net/profile/Lewis-Land-2/publication/226610480_Multi-tracer_investigation_of_groundwater_residence_time_in_a_karstic_aquifer_Bitter_Lakes_National_Wildlife_Refuge_New_Mexico_USA/links/54dbb12c0cf2a7769d924d3e/Multi-tracer-investigation-of-groundwater-residence-time-in-a-karstic-aquifer-Bitter-Lakes-National-Wildlife-Refuge-New-Mexico-USA.pdf
2,RoswellArtesianBasin,https://scholarworks.sfasu.edu/cgi/viewcontent.cgi?article=1010&context=geology
13,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/511/OFR-511.pdf
13,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/520/Map/OFR-520_Water_Level_Oct09_LR.pdf
13,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/550/OFR-550.pdf
13,EspanolaBasin,https://watermark.silverchair.com/i1553-040X-3-6-596.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA1EwggNNBgkqhkiG9w0BBwagggM-MIIDOgIBADCCAzMGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMWFGs2v2pfP0kCu8GAgEQgIIDBLtkOHM4qmXENMraSPt2I-VuD9xw40sezhbcljGKSc9mMEbDKZgPydfTstoUkRMHUoxG-uC-uFzd-F-4NDXsVDCV_n9nHyxiOVppSmBl6Ge6bw71k9HXSK_bXk-XCdlv0ZddvnJyqbXO6q9ZB2CSGheP3u9iO7elFxrmEwgj9MwRZpmfpYRyaVRb5z-sLzoPZJm1T67tY-igulvh8ExAHGAww_u2BTjQSvNER1yBaviEquXaSjG3JV6tNw7Il-squ9F2fde5Emtcfn-eEVvtEOzkokIo5pz4Z47Z9h34aZfLCWky0fNaTtWoICrTrMYIM_y_REic19ndgC1ptwJ4C55Cfu6gtoTbeFmaW7tIiaciwobvMpOQ5-jo-8sUT4V0h7dcU4z9l6EbAuYoWqucAF68QdpQ9xoAMJkyQDsPY_KOHsVR_bnk1_o5cK03CTGJcWO65xPLYx2vv6HOYZFpa-LbiatypfVhOnpcvWd22OkcPYRgPMz8ABpdxNMdI9B9fdrnE_d0EvGwGKGq2LwhiXjKvtYtI5Eq6MaSo_5tKRLctBcXQpS2QQDvwqniOPmgZa9TEvQv72qY757FUgTJXog3rU7u4OrRlXmhwK79_3-O-mYtIaaREcqlF0pjRJYtg63qtB-YxX8IT6fou-z26gbJGbKjuTkg0_r0CIwOmkCntlikL1g_n9lQ31cTopEISLuq418ffo0YS09NPzQW6ybFUbS8y0cwouY6gADsb-mOxhB6SVR5amgKimTX4tV6ZDHg5w1Bn6DpieIpcIKRT_7Ub0Y-63z71hANH_OVtVH8fAe7M_hAAWUnlNjNSC9xdDSHZ47ElNY8xWxykq0r9dTl7VIO46FLSrI7HF99giJy1crhm4F3kwSCAtp_GwwGMDiKv6nbTsKk6Ud7XsZCtCVYceX_b8dEvmpDsc3CVzi3kArHqjTUppmcF2GDIA-z1XeT_gXfFyTDgqXtutb3I1Wxibk80bsHRe45R73x74XqHETly097QqgbmET4GBKiC6U_BTU
13,EspanolaBasin,https://pubs.usgs.gov/pp/1761/downloads/pdf/PP1761.pdf
13,SantoDomingoBasin,https://pubs.usgs.gov/pp/1720/downloads/pdf/p1720D.pdf
13,EspanolaBasin,https://nmgs.nmt.edu/publications/guidebooks/downloads/58/58_p0209_p0224.pdf
13,EspanolaBasin,https://nmgs.nmt.edu/publications/guidebooks/downloads/58/58_p0475_p0484.pdf
13,EspanolaBasin,https://pubs.usgs.gov/pp/1720/downloads/pdf/p1720G.pdf
22,SacramentoMountains,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/542/Map/OFR-542_watertable_150k_LR.pdf
22,SacramentoMountains,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/543/OFR-543_LR.pdf
22,SacramentoMountains,https://geoinfo.nmt.edu/publications/guides/decisionmakers/2003/DecisonMakers2003.pdf
16,UnionCounty,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/570/OFR570_UnionCounty_Clayton_WaterBasin_report.pdf
16,UnionCounty,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/555/OFR-555_Union_County.pdf
18,SanJuanBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/566/ofr-566_report.pdf
18,SanJuanBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/592/OFR-592_Animas_River.pdf
18,SanJuanBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/567/ofr_567.pdf
19,PalomasBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/551/OFR-551_TorC.pdf
19,PalomasBasin,https://pubs.usgs.gov/of/2002/ofr02197/documentation.pdf
19,MesillaBasin,https://nmwrri.nmsu.edu/publications/technical-reports/tr-documents/tr330.pdf
17,Magdalena,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/556/OFR-556_%20Magdalena_%20August-2013.pdf
6,SacramentoMountains,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/576/OFR-576_SM_watershed_study.pdf
20,JornadaDelMuertoBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/575/OFR-575_JDM_Landform_report_LR.pdf
20,JornadaDelMuertoBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/573/OFR-573_Jornada_del_Muerto_report_LR.pdf
29,CentralHighPlains,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/580/OFR-580_Clovis_Portales_LR.pdf
29,CentralHighPlains,https://geoinfo.nmt.edu/publications/monographs/bulletins/downloads/162/B-162.pdf
26,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/586/OFR-586_Pena_Blanca.pdf
0,AlbuquerqueBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/605/OFR-605_ABQMAR_report.pdf
14,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/613/OFR-613_La_Cienega_2020.pdf
14,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/604/OFR-604_La_Cienega_2019.pdf
14,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/602/OFR-602_La_Cienega_2018_fall_report.pdf
14,EspanolaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/600/OFR-600_La_Cienega_2017_report.pdf
14,EspanolaBasin,https://geoinfo.nmt.edu/publications/monographs/bulletins/downloads/161/B161.pdf
25,SanJuanBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/612/OFR-612.pdf
25,SanJuanBasin,https://geoinfo.nmt.edu/geoscience/research/documents/26/FTR/FTR_Animas_River_Sept_2016_LR.pdf
48,EstanciaBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/609/OFR-609.pdf
49,PecosSlope,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/614/OFR-614_report.pdf
50,MimbresBasin,https://link.springer.com/content/pdf/10.1007/s10040-022-02549-7.pdf
50,MimbresBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/616/OFR-616_February2022.pdf
